Id,Age,Genre,Education,Pays,Ethnicité,Neuroticisme,Extraversion,Ouverture,Agréabilité,Conscienciosité,Impulsivité,Recherche de sensations,Alcohol,Amphetamines,Amyl nitrite,Benzodiazepine,Caffeine,Cannabis,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal highs,LSD,Methadone,Magic mushrooms,Nicotine,Semeron,Volatile substance abuse
1,35-44,Female,Certificat ou diplome professionel,UK,Mixed-Blanc/Asiatique ,0.31287,-0.57545,-0.58331,-0.91699,-0.00665,18.83% ,7.00% ,5,2,0,2,6,0,5,0,0,0,0,0,0,0,0,0,2,0,0,
2,25-34,Male,Doctorat,UK,Blanc,-0.67825,1.93886,1.43533,0.76096,-0.14277,16.29% ,11.83% ,5,2,2,0,6,4,6,3,0,4,0,2,0,2,3,0,4,0,0,
3,35-44,Male,Certificat ou diplome professionel,UK,Blanc,-0.46725,0.80523,-0.84732,32,-1.01450,14.64% ,13.21% ,6,0,0,0,6,3,4,0,0,0,0,0,0,0,0,1,0,0,0,
4,18-24,Female,Matrise,UK,Blanc,-0.14882,-0.80615,-0.01928,0.59042,0.58489,14.64% ,7.00% ,4,0,0,3,5,2,4,2,0,0,0,2,0,0,0,0,2,0,0,
5,35-44,Female,Doctorat,UK,Blanc,0.73545,28,-0.45174,-0.30172,1.30612,18.83% ,11.83% ,4,1,1,0,6,3,6,0,0,1,0,0,1,0,0,2,2,0,0,
6,65+,Female,À quitté l'école à 18 ans,Canada,Blanc,-0.67825,-0.30033,35,2.03972,1.63088,14.64% ,4.62% ,2,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0,
7,45-54,Male,Matrise,USA,Blanc,-0.46725,-1.09207,-0.45174,-0.30172,0.93949,18.83% ,11.62% ,6,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,6,0,0,
8,35-44,Male,À quitté l'école à 16 ans,UK,Blanc,24,1.93886,-0.84732,-0.30172,1.63088,13.63% ,11.19% ,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
9,35-44,Female,Certificat ou diplome professionel,Canada,Blanc,0.62967,2.57309,-0.97631,0.76096,1.13407,14.64% ,4.62% ,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,
10,55-64,Male,Matrise,UK,Blanc,-0.24649,0.00332,36,0.59042,0.12331,14.64% ,8.97% ,6,1,0,1,6,1,6,0,0,0,0,0,0,0,0,0,6,0,0,
11,25-34,Female,Université,UK,Blanc,26,0.80523,-1.11902,-0.76096,1.81175,13.63% ,11.62% ,5,0,1,0,6,2,5,2,0,0,0,0,0,0,0,0,2,0,1,
12,45-54,Male,Collège ou université aucun certificat ou diplome,Autre,Blanc,24,0.00332,0.14143,30,-0.52745,11.46% ,11.14% ,5,1,0,0,6,4,5,2,0,3,0,0,0,1,0,2,6,0,0,
13,55-64,Female,Université,UK,Blanc,2.28554,0.16767,0.44585,32,-0.78155,7.85% ,11.62% ,5,1,0,4,6,3,5,1,0,0,0,0,0,1,1,1,6,0,0,
